player_id,name,position,current_team,jersey_number
11373,DJ Scaife,OL,,60.0
939,Brandon Fusco,G,,65.0
1732,Willie Jefferson,OLB,,46.0
12517,Colston Loveland,TE,CHI,84.0
6081,Kendall Blanton,TE,,80.0
1637,Kevin McDermott,LS,,47.0
2762,Diaheem Watkins,ILB,,0.0
13,Sam Koch,P,,4.0
4053,Garett Bolles,OT,DEN,72.0
4634,Kenneth Walker,WR,,86.0
4479,Thomas Sperbeck,WR,,0.0
3081,Doug Whaley,,,0.0
2370,D'Joun Smith,CB,,20.0
3323,Marqui Christian,DB,,23.0
1464,Eric Fisher,OT,,79.0
7709,Rashad Weaver,LB,,51.0
133,Greg Jones,RB,,45.0
6974,Javaris Davis,CB,,38.0
1447,Luke Joeckel,G,,78.0
3318,Kevin Hogan,QB,,5.0
3346,Josh Forrest,DE,,0.0
3848,Greg Townsend,DE,,0.0
1251,Alameda Ta'amu,NT,,66.0
3799,David Glidden,WR,,7.0
1856,Jeremiah George,LB,,59.0
6005,Kevin Givens,DT,SF,90.0
7722,Bobby Brown,DT,CAR,97.0
5269,Codey McElroy,TE,,86.0
4817,Jimmy Herman,OLB,,48.0
2553,Rory Anderson,TE,,88.0
6331,Koa Farmer,OLB,,46.0
2167,Ricardo Allen,DB,CIN,37.0
8389,Akayleb Evans,DB,CAR,29.0
7974,Nick McCloud,CB,CHI,24.0
4585,Anthony Nash,WR,,3.0
3815,Bryson Keeton,CB,,37.0
2270,Justin Britt,OL,,68.0
11229,Calvin Tyler,RB,,36.0
2941,Milton Williams,WR,,0.0
89,Chad Henne,QB,,4.0
11076,NaJee Thompson,CB,,36.0
8138,James Cook,RB,BUF,4.0
3679,Mario Ojemudia,DE,,42.0
3134,Matt Nagy,,,0.0
5665,Darren Andrews,WR,,16.0
2770,Harold Spears,TE,,0.0
11281,Liam Anderson,LB,CIN,45.0
12081,Dyshawn Gales,CB,,
2608,Dylan Wynn,DE,,97.0
5082,Simeon Thomas,CB,,38.0
1876,Deji Olatoye,CB,,30.0
8024,Andre Mintze,LB,,31.0
7723,Elerson G. Smith,LB,,52.0
2092,Akeem Davis,S,,35.0
7159,Reid Sinnett,QB,,7.0
7108,Hasise Dubois,WR,,
6000,Ryan Bates,OL,CHI,71.0
1013,Doug Worthington,DT,,92.0
12844,Ricky Barber,DT,WAS,66.0
364,Ryan Mundy,SS,,21.0
9231,Jaren Hall,QB,,15.0
5674,Andre Chachere,DB,,36.0
12201,Nick Torres,G,,
7262,Jalen Morton,QB,IND,6.0
4076,Ryan Ramczyk,T,,71.0
7293,Luq Barcoo,CB,,40.0
8442,Jarrett Guarantano,QB,,16.0
11345,Chris Smith,DL,DET,90.0
12937,Keith Cooper,DL,MIA,66.0
2352,Eric Rowe,DB,,37.0
6671,Jerald Foster,G,,63.0
12877,Brandon Johnson,DB,PHI,49.0
8119,Jahan Dotson,WR,PHI,2.0
8194,Jashaun Corbin,RB,,30.0
3223,Su'a Cravens,SS,,21.0
5748,DeMarquis Gates,ILB,,43.0
2406,Trey Flowers,LB,,58.0
7863,JaQuan Hardy,RB,,45.0
11828,Marcus Harris,DL,KC,68.0
5231,Cole Hunt,TE,,81.0
2365,Randy Gregory,DE,,56.0
8476,DaRon Bland,DB,DAL,26.0
409,King Dunlap,T,,77.0
1955,Jeoffrey Pagan,DE,,97.0
7407,Isaiah Wright,WR,,0.0
